applicant_income,coapplicant_income,loan_amount,gender,married,dependents,education,self_employed,property_area,loan_amount_term,credit_history,loan_status
4843,3806.0,151.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,Y
13650,0.0,,Male,Yes,,Graduate,No,Urban,360.0,1.0,Y
4652,3583.0,,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
3816,754.0,160.0,Male,,,Graduate,No,Urban,360.0,1.0,Y
3052,1030.0,100.0,Male,Yes,1,Graduate,No,Urban,360.0,1.0,Y
11417,1126.0,225.0,Male,Yes,2,Graduate,No,Urban,360.0,1.0,Y
7333,0.0,120.0,Male,No,0,Not Graduate,,Rural,360.0,1.0,N
3800,3600.0,216.0,Male,Yes,2,Graduate,No,Urban,360.0,0.0,N
2071,754.0,94.0,Male,Yes,3+,Not Graduate,No,Semiurban,480.0,1.0,Y
5316,0.0,136.0,Male,No,0,Graduate,No,Urban,360.0,1.0,Y
2929,2333.0,139.0,Female,Yes,0,Graduate,,Semiurban,360.0,1.0,Y
3572,4114.0,152.0,Male,Yes,0,Not Graduate,No,Rural,,0.0,N
7451,0.0,,Female,No,1,Graduate,Yes,Semiurban,360.0,1.0,Y
5050,0.0,118.0,Male,No,0,Graduate,,Semiurban,360.0,1.0,Y
14583,0.0,185.0,Male,Yes,1,Graduate,No,Rural,180.0,1.0,Y
3167,2283.0,154.0,Female,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
2214,1398.0,85.0,Male,Yes,1,Graduate,No,Urban,360.0,,Y
5568,2142.0,175.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,N
10408,0.0,259.0,Female,No,0,Graduate,No,Urban,360.0,1.0,Y
5667,2667.0,180.0,Male,Yes,,Graduate,No,Rural,360.0,1.0,Y
4166,0.0,44.0,Female,No,0,Graduate,No,Semiurban,360.0,1.0,Y
2137,8980.0,137.0,Female,No,0,Graduate,No,Semiurban,360.0,0.0,Y
2957,0.0,81.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
4300,2014.0,194.0,Male,Yes,0,Not Graduate,No,Rural,360.0,1.0,Y
3692,0.0,93.0,Female,No,0,Graduate,No,Rural,360.0,,Y
23803,0.0,370.0,,Yes,3+,Graduate,No,Rural,360.0,1.0,Y
3865,1640.0,,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
10513,3850.0,160.0,Male,Yes,1,Graduate,Yes,Urban,180.0,0.0,N
6080,2569.0,182.0,Male,Yes,0,Graduate,No,Rural,360.0,,N
20166,0.0,650.0,Male,No,0,Graduate,Yes,Urban,480.0,,Y
2014,1929.0,74.0,Male,No,0,Graduate,No,Urban,360.0,1.0,Y
2718,0.0,70.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,Y
3459,0.0,25.0,Male,Yes,0,Graduate,Yes,Semiurban,120.0,1.0,Y
4895,0.0,102.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,Y
4000,7750.0,290.0,Male,Yes,3+,Graduate,No,Semiurban,360.0,1.0,N
4583,0.0,84.0,Female,Yes,0,Graduate,No,Rural,360.0,1.0,N
3316,3500.0,88.0,Male,Yes,2,Graduate,Yes,Urban,360.0,1.0,Y
14999,0.0,242.0,Male,No,0,Graduate,No,Semiurban,360.0,0.0,N
4200,1430.0,129.0,Male,Yes,2,Not Graduate,No,Rural,360.0,1.0,N
5042,2083.0,185.0,Male,Yes,2,Graduate,No,Rural,360.0,1.0,N
5417,0.0,168.0,Male,No,0,Graduate,No,Urban,360.0,1.0,Y
6950,0.0,175.0,Male,No,0,Graduate,Yes,Semiurban,180.0,1.0,Y
2698,2034.0,122.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
11757,0.0,187.0,Male,Yes,2,Graduate,No,Urban,180.0,1.0,Y
2330,4486.0,100.0,Female,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
14866,0.0,70.0,Female,Yes,2,Graduate,No,Urban,360.0,1.0,Y
1538,1425.0,30.0,Male,Yes,1,Graduate,No,Urban,360.0,1.0,Y
10000,1666.0,225.0,Female,No,0,Graduate,No,Rural,360.0,1.0,N
4860,830.0,125.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
6277,0.0,118.0,Male,No,0,Graduate,No,Rural,360.0,0.0,N
2577,3750.0,152.0,Male,Yes,0,Graduate,Yes,Rural,360.0,1.0,Y
9166,0.0,244.0,Male,No,0,Graduate,No,Urban,360.0,1.0,N
2281,0.0,113.0,Male,Yes,2,Not Graduate,No,Rural,360.0,1.0,N
3254,0.0,50.0,Male,No,0,Graduate,No,Urban,360.0,1.0,Y
39999,0.0,600.0,Male,Yes,3+,Graduate,No,Semiurban,180.0,0.0,Y
6000,0.0,160.0,Male,Yes,1,Graduate,No,Rural,360.0,,Y
9538,0.0,187.0,Male,Yes,1,Graduate,No,Urban,360.0,1.0,Y
2980,2083.0,120.0,Male,No,0,Graduate,,Rural,360.0,1.0,Y
4583,5625.0,255.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
1863,1041.0,98.0,Male,Yes,0,Not Graduate,No,Semiurban,360.0,1.0,Y
7933,0.0,275.0,Male,Yes,0,Graduate,No,Urban,360.0,1.0,N
3089,1280.0,121.0,Male,Yes,1,Graduate,No,Semiurban,360.0,0.0,N
4167,1447.0,158.0,Male,Yes,2,Graduate,No,Rural,360.0,1.0,Y
9323,0.0,75.0,Male,Yes,0,Graduate,No,Urban,180.0,1.0,Y
3707,3166.0,182.0,Male,Yes,0,Graduate,No,Rural,,1.0,Y
4583,0.0,112.0,Female,Yes,0,Graduate,No,Rural,360.0,1.0,N
2439,3333.0,129.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,Y
2237,0.0,63.0,Male,No,0,Graduate,No,Semiurban,480.0,0.0,N
8000,0.0,200.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
1820,1769.0,95.0,Male,Yes,0,Not Graduate,,Rural,360.0,1.0,Y
51763,0.0,700.0,,Yes,3+,Graduate,No,Urban,300.0,1.0,Y
3522,0.0,81.0,Male,Yes,3+,Not Graduate,No,Rural,180.0,1.0,N
5708,5625.0,187.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
4344,736.0,87.0,Male,Yes,0,Not Graduate,Yes,Semiurban,360.0,1.0,N
3497,1964.0,116.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,Y
2045,1619.0,101.0,Male,Yes,2,Graduate,No,Rural,360.0,1.0,Y
5516,11300.0,495.0,Male,Yes,3+,Graduate,No,Semiurban,360.0,0.0,N
3750,0.0,116.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,Y
2333,1451.0,102.0,Male,No,0,Not Graduate,No,Urban,480.0,0.0,N
6400,7250.0,180.0,Male,Yes,1,Graduate,No,Urban,360.0,0.0,N
1916,5063.0,67.0,Male,No,0,Graduate,No,Rural,360.0,,N
4600,0.0,73.0,Male,Yes,0,Graduate,No,Semiurban,180.0,1.0,Y
33846,0.0,260.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,N
3625,0.0,108.0,Female,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
39147,4750.0,120.0,Male,Yes,0,Graduate,Yes,Semiurban,360.0,1.0,Y
2178,0.0,66.0,Male,Yes,1,Graduate,Yes,Rural,300.0,0.0,N
2383,2138.0,58.0,Male,Yes,0,Graduate,No,Rural,360.0,,Y
674,5296.0,168.0,,Yes,0,Graduate,Yes,Rural,360.0,1.0,Y
9328,0.0,188.0,Male,Yes,0,Graduate,No,Rural,180.0,1.0,Y
4885,0.0,48.0,Male,No,0,Not Graduate,No,Rural,360.0,1.0,Y
12000,0.0,164.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,N
6033,0.0,160.0,Male,Yes,0,Not Graduate,No,Urban,360.0,1.0,N
3858,0.0,76.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,Y
4191,0.0,120.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
3125,2583.0,170.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,N
8333,3750.0,187.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
1907,2365.0,120.0,Female,No,0,Not Graduate,No,Urban,,1.0,Y
3416,2816.0,113.0,Female,Yes,0,Graduate,No,Semiurban,360.0,,Y
11000,0.0,83.0,Male,No,0,Graduate,Yes,Urban,360.0,1.0,N
2600,2500.0,90.0,Male,Yes,1,Not Graduate,No,Semiurban,360.0,1.0,Y
4923,0.0,166.0,Male,No,2,Graduate,No,Semiurban,360.0,0.0,Y
3992,0.0,,Male,Yes,3+,Not Graduate,No,Urban,180.0,1.0,N
3500,1083.0,135.0,Male,Yes,1,Not Graduate,No,Urban,360.0,1.0,Y
3917,0.0,124.0,Male,Yes,2,Not Graduate,No,Semiurban,360.0,1.0,Y
4408,0.0,120.0,Female,No,0,Not Graduate,No,Semiurban,360.0,1.0,Y
3244,0.0,80.0,Female,No,0,Graduate,No,Urban,360.0,1.0,Y
3975,2531.0,55.0,Male,No,0,Not Graduate,No,Rural,360.0,1.0,Y
2479,0.0,59.0,Male,No,0,Graduate,No,Urban,360.0,1.0,Y
3418,0.0,127.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,N
10000,0.0,214.0,Female,No,0,Graduate,No,Semiurban,360.0,1.0,N
3430,1250.0,128.0,Male,Yes,3+,Graduate,No,Semiurban,360.0,0.0,N
7787,0.0,240.0,Male,Yes,1,Graduate,Yes,Urban,360.0,1.0,Y
5703,0.0,130.0,Male,Yes,3+,Not Graduate,Yes,Rural,360.0,1.0,Y
3173,3021.0,137.0,Male,Yes,0,Graduate,No,Urban,360.0,1.0,Y
3850,983.0,100.0,Male,Yes,3+,Not Graduate,No,Semiurban,360.0,1.0,Y
150,1800.0,135.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,N
3727,1775.0,131.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
5000,0.0,72.0,Male,Yes,2,Graduate,,Semiurban,360.0,0.0,N
4283,2383.0,127.0,Female,Yes,2,Graduate,No,Semiurban,360.0,,Y
2221,0.0,60.0,Male,Yes,0,Graduate,No,Urban,360.0,0.0,N
4009,1717.0,116.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
2971,2791.0,144.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,Y
7578,1010.0,175.0,Male,Yes,0,Graduate,No,Semiurban,,1.0,Y
6250,0.0,128.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
3250,0.0,170.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,N
4735,0.0,138.0,Male,Yes,,Not Graduate,Yes,Urban,360.0,1.0,N
6250,1695.0,210.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
4758,0.0,158.0,Male,,,Graduate,No,Semiurban,480.0,1.0,Y
6400,0.0,200.0,Male,No,0,Graduate,Yes,Rural,360.0,1.0,Y
2491,2054.0,104.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,Y
3716,0.0,42.0,Male,Yes,0,Graduate,,Rural,180.0,1.0,Y
3189,2598.0,120.0,Male,No,0,Not Graduate,No,Rural,,1.0,Y
8333,0.0,280.0,Female,No,0,Graduate,No,Semiurban,360.0,1.0,Y
3155,1779.0,140.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,Y
5500,1260.0,170.0,Male,Yes,1,Graduate,No,Rural,360.0,1.0,Y
5746,0.0,255.0,Male,Yes,0,Graduate,,Urban,360.0,,N
3463,0.0,122.0,Female,No,0,Graduate,Yes,Urban,360.0,,Y
3812,0.0,112.0,Female,No,1,Graduate,No,Rural,360.0,1.0,Y
3315,0.0,96.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,Y
5819,5000.0,120.0,Male,Yes,2,Graduate,No,Rural,360.0,1.0,Y
2510,1983.0,140.0,Male,Yes,1,Not Graduate,No,Urban,180.0,1.0,N
2965,5701.0,155.0,Male,No,0,Graduate,No,Urban,60.0,1.0,Y
6250,1300.0,108.0,Male,Yes,2,Graduate,Yes,Rural,360.0,1.0,Y
3406,4417.0,123.0,Male,Yes,0,Not Graduate,No,Semiurban,360.0,1.0,Y
6050,4333.0,120.0,Male,No,0,Graduate,Yes,Urban,180.0,1.0,N
9703,0.0,112.0,Male,Yes,2,Graduate,No,Urban,360.0,1.0,Y
6608,0.0,137.0,Male,Yes,1,Not Graduate,No,Urban,180.0,1.0,Y
2882,1843.0,123.0,Male,Yes,1,Graduate,No,Semiurban,480.0,1.0,Y
1809,1868.0,90.0,Male,Yes,0,Graduate,No,Urban,360.0,1.0,Y
1668,3890.0,201.0,Male,Yes,0,Not Graduate,No,Semiurban,360.0,0.0,N
3427,0.0,138.0,Female,No,2,Graduate,No,Urban,360.0,1.0,N
2583,2167.0,104.0,Male,No,0,Not Graduate,Yes,Rural,360.0,1.0,Y
2661,7101.0,279.0,Male,Yes,1,Not Graduate,No,Semiurban,180.0,1.0,Y
16250,0.0,192.0,Male,No,0,Graduate,Yes,Urban,360.0,0.0,N
3083,0.0,255.0,Female,No,3+,Graduate,No,Rural,360.0,1.0,Y
6045,0.0,115.0,Male,No,0,Not Graduate,No,Rural,360.0,0.0,N
5250,0.0,94.0,Male,Yes,3+,Graduate,No,Urban,360.0,1.0,N
14683,2100.0,304.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,N
4931,0.0,128.0,Male,Yes,3+,Not Graduate,No,Semiurban,360.0,,N
6083,4250.0,330.0,Male,Yes,1,Graduate,No,Urban,360.0,,Y
2060,2209.0,134.0,Male,No,0,Graduate,No,Semiurban,360.0,1.0,Y
3481,0.0,155.0,Female,No,1,Graduate,No,Semiurban,36.0,1.0,N
7200,0.0,120.0,Female,No,0,Graduate,No,Rural,360.0,1.0,Y
5166,0.0,128.0,Male,No,0,Graduate,Yes,Semiurban,360.0,1.0,Y
4095,3447.0,151.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
4708,1387.0,150.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
4333,1811.0,160.0,Male,Yes,3+,Graduate,No,Urban,360.0,0.0,Y
3418,0.0,135.0,Female,No,0,Graduate,,Rural,360.0,1.0,N
2876,1560.0,90.0,Female,No,1,Graduate,No,Urban,360.0,1.0,Y
3237,0.0,30.0,Female,No,0,Graduate,No,Urban,360.0,1.0,Y
11146,0.0,136.0,Male,Yes,0,Graduate,No,Urban,360.0,1.0,Y
2833,1857.0,126.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
2620,2223.0,150.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
3900,0.0,90.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
2750,1842.0,115.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,Y
3993,3274.0,207.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
3103,1300.0,80.0,Male,Yes,0,Graduate,No,Urban,360.0,1.0,Y
14583,0.0,436.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
4100,0.0,124.0,Female,Yes,0,Not Graduate,No,Rural,360.0,,Y
4053,2426.0,158.0,Male,No,1,Not Graduate,Yes,Urban,360.0,0.0,N
3927,800.0,112.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
2301,985.7999878,78.0,Male,Yes,2,Graduate,No,Urban,180.0,1.0,Y
1811,1666.0,54.0,Female,No,0,Graduate,No,Urban,360.0,1.0,Y
20667,0.0,,Male,Yes,0,Graduate,No,Rural,360.0,1.0,N
3158,3053.0,89.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
2600,1717.0,99.0,Female,No,0,Graduate,Yes,Semiurban,300.0,1.0,N
3704,2000.0,120.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,Y
4124,0.0,115.0,Female,No,0,Graduate,No,Semiurban,360.0,1.0,Y
9508,0.0,187.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
3075,2416.0,139.0,Male,Yes,0,Graduate,No,Rural,360.0,1.0,Y
4400,0.0,127.0,Male,Yes,2,Graduate,No,Semiurban,360.0,0.0,N
3153,1560.0,134.0,Male,Yes,2,Graduate,No,Urban,360.0,1.0,Y
5417,0.0,143.0,Female,No,,Graduate,No,Urban,480.0,0.0,N
2383,3334.0,172.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
4416,1250.0,110.0,Male,Yes,3+,Graduate,,Urban,360.0,1.0,Y
6875,0.0,200.0,Male,Yes,1,Graduate,No,Semiurban,360.0,1.0,Y
4666,0.0,135.0,Female,Yes,1,Graduate,No,Urban,360.0,1.0,Y
5000,2541.0,151.0,Female,No,0,Graduate,No,Rural,480.0,1.0,N
2014,2925.0,113.0,Male,Yes,1,Graduate,No,Urban,360.0,1.0,N
1800,2934.0,93.0,Male,Yes,0,Not Graduate,No,Urban,360.0,0.0,N
2875,1750.0,105.0,Male,Yes,,Not Graduate,No,Semiurban,360.0,1.0,Y
5000,0.0,132.0,Female,No,0,Graduate,No,Rural,360.0,1.0,Y
1625,1803.0,96.0,Male,Yes,1,Graduate,No,Urban,360.0,1.0,Y
4000,2500.0,140.0,Male,No,0,Graduate,No,Rural,360.0,1.0,Y
2000,0.0,,Male,No,0,Not Graduate,No,Urban,360.0,1.0,N
3762,1666.0,135.0,Female,No,0,Graduate,No,Rural,360.0,1.0,Y
2400,1863.0,104.0,Female,No,0,Graduate,No,Urban,360.0,0.0,N
20233,0.0,480.0,Male,No,0,Graduate,No,Rural,360.0,1.0,N
7667,0.0,185.0,Male,Yes,2,Not Graduate,No,Rural,360.0,,Y
2917,0.0,84.0,Female,No,0,Graduate,No,Semiurban,360.0,1.0,Y
2927,2405.0,111.0,Male,No,0,Not Graduate,No,Semiurban,360.0,1.0,Y
2507,0.0,56.0,Female,No,0,Graduate,No,Rural,360.0,1.0,Y
5746,0.0,144.0,Male,Yes,2,Graduate,Yes,Rural,84.0,,Y
2473,1843.0,159.0,,Yes,0,Graduate,No,Rural,360.0,1.0,N
3399,1640.0,111.0,Male,Yes,1,Not Graduate,No,Urban,180.0,1.0,Y
3717,0.0,120.0,Male,Yes,2,Graduate,No,Semiurban,360.0,1.0,Y
2058,2134.0,88.0,Male,Yes,0,Graduate,No,Urban,360.0,,Y
3541,0.0,112.0,Female,No,1,Graduate,No,Semiurban,360.0,,Y
10000,0.0,155.0,Male,Yes,1,Graduate,Yes,Rural,360.0,1.0,N
2400,2167.0,115.0,Male,Yes,0,Graduate,No,Semiurban,360.0,1.0,Y
4342,189.0,124.0,Male,Yes,3+,Graduate,No,Semiurban,360.0,1.0,Y
3601,1590.0,,Male,Yes,2,Not Graduate,No,Rural,360.0,1.0,Y
3166,2985.0,132.0,Female,No,0,Graduate,No,Rural,360.0,,Y
15000,0.0,300.0,Male,Yes,3+,Graduate,No,Rural,360.0,1.0,Y
8666,4983.0,376.0,Male,Yes,1,Graduate,Yes,Rural,360.0,0.0,N
4917,0.0,130.0,Male,No,0,Graduate,No,Rural,360.0,0.0,Y
